card_id;ssn;Name;Address;phone
1;850473740;Mark Morgan;5677 Coolidge Street,Plano,TX;4699041438
2;256954382;Eric Warren;9062 Schurz Drive,Dallas,TX;2147018127
3;256515268;Robert Harper;7786 Sachs Place,Plano,TX;2148755911
4;976952914;Donna Franklin;3 Magdeline Terrace,Plano,TX;2148006127
5;906633588;Linda King;41260 Kedzie Terrace,Dallas,TX;4692132549
6;206267141;Judy Holmes;6583 Manitowish Hill,Dallas,TX;9728985909
7;898613567;Deborah Lawrence;2 Hermina Trail,Dallas,TX;9729002951
8;644250492;Adam Johnston;05671 Norway Maple Court,Dallas,TX;4697430176
9;678124697;Pamela Carr;1848 Fordem Avenue,Richardson,TX;9722479852
10;562337951;Daniel Fisher;400 Cody Lane,Plano,TX;2148917743
11;441907753;Stephen Fields;99 Fair Oaks Drive,Plano,TX;2148013069
12;305533736;Walter Ferguson;814 Sutteridge Point,Dallas,TX;4699458172
13;634616311;Paul Cook;58295 Pierstorff Pass,Richardson,TX;4699320168
14;661246360;Roy Smith;563 Fairview Park,Dallas,TX;2149114724
15;350838412;Michelle Gardner;28309 Paget Court,Plano,TX;4699742681
16;439755475;George Powell;31 Clove Crossing,Dallas,TX;9728857291
17;431615822;Nicholas Hudson;29 Esker Trail,Dallas,TX;4696984000
18;879827179;Linda Henderson;117 Katie Center,Dallas,TX;4699970832
19;484961826;Gregory Fowler;42454 Hermina Plaza,Dallas,TX;2149368301
20;562527080;Carol Sanders;99600 Moland Way,Dallas,TX;2147621061
21;876615170;Mark Hamilton;76425 Dixon Hill,Dallas,TX;9728027903
22;139711123;Anthony Brown;8691 Walton Terrace,Dallas,TX;9729473376
23;239166210;James Rivera;4 Golden Leaf Trail,Dallas,TX;2147618129
24;283067717;Tammy Cole;22 Atwood Parkway,Dallas,TX;4692921882
25;371609878;Donald Bowman;196 Golf View Terrace,Dallas,TX;2149566083
26;438787652;Susan Gomez;601 Warbler Point,Richardson,TX;9728771341
27;893371519;Juan Martin;846 Johnson Circle,Dallas,TX;2148285694
28;434925388;Samuel Bailey;1367 Northport Drive,Dallas,TX;9729722250
29;444509807;Paul White;24775 Melvin Place,Dallas,TX;4694594087
30;557410386;Gregory Clark;259 Porter Avenue,Dallas,TX;9729795771
31;123991439;Steven Wood;852 Darwin Alley,Dallas,TX;2149842801
32;507262481;Jessica Fuller;975 Carpenter Parkway,Dallas,TX;9729565055
33;258335117;Donna Greene;86 Delladonna Lane,Dallas,TX;4699696535
34;876944518;Edward Ford;34 Fulton Circle,Dallas,TX;2148691555
35;153208011;Steve Torres;781 Loeprich Alley,Dallas,TX;4699647789
